"x,[T]0","y,R1","y,R10","y,R9","y,R8","y,R7","y,R6","y,R5","y,R4","y,R3","y,R2","y,R11"
1.67E-02,9.84E-01,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.97E-01,9.94E-01,9.89E-01,9.86E-01,9.84E-01,9.92E-01
5.55E-02,9.48E-01,1.00E+00,1.00E+00,9.99E-01,9.97E-01,9.92E-01,9.79E-01,9.65E-01,9.54E-01,9.50E-01,9.73E-01
1.67E-01,8.59E-01,1.00E+00,9.99E-01,9.97E-01,9.91E-01,9.75E-01,9.39E-01,9.00E-01,8.73E-01,8.63E-01,9.20E-01
5.55E-01,6.46E-01,1.00E+00,9.97E-01,9.90E-01,9.69E-01,9.16E-01,8.09E-01,7.16E-01,6.67E-01,6.51E-01,7.60E-01
1.67E+00,3.76E-01,9.99E-01,9.90E-01,9.71E-01,9.06E-01,7.58E-01,5.31E-01,4.26E-01,3.90E-01,3.80E-01,4.68E-01
5.55E+00,1.53E-01,9.97E-01,9.67E-01,9.02E-01,6.93E-01,3.44E-01,1.92E-01,1.64E-01,1.56E-01,1.54E-01,1.75E-01
1.67E+01,5.67E-02,9.90E-01,9.01E-01,7.07E-01,2.17E-01,7.97E-02,6.21E-02,5.83E-02,5.71E-02,5.68E-02,5.98E-02
5.55E+01,1.77E-02,9.67E-01,6.70E-01,1.25E-01,2.48E-02,1.96E-02,1.82E-02,1.79E-02,1.77E-02,1.77E-02,1.80E-02
1.67E+02,5.96E-03,9.00E-01,7.45E-02,8.88E-03,6.62E-03,6.17E-03,6.02E-03,5.98E-03,5.97E-03,5.97E-03,6.00E-03
5.55E+02,1.80E-03,6.67E-01,2.56E-03,2.00E-03,1.85E-03,1.82E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03
1.67E+03,6.00E-04,2.42E-02,6.66E-04,6.20E-04,6.06E-04,6.02E-04,6.00E-04,6.00E-04,6.00E-04,6.00E-04,6.00E-04
